X,Y,Value
-0.26,-1.94,10
0.16,-2.19,10
0.34,-1.86,10
-1.0,0.01,5
-0.75,-0.16,5
-1.36,0.06,5
-1.3,0.38,5
-0.82,0.38,5
-2.05,1.11,5
-2.32,1.37,5
-2.34,1.03,5
-1.61,0.78,5
-1.07,2.47,10
-0.64,2.01,10
-1.03,2.05,10
-1.4,2.0,10
1.98,-0.75,15
2.31,-1.38,15
1.99,-1.18,15
2.28,-0.91,15
1.95,2.25,15
2.34,1.99,15
2.31,2.31,15
1.95,1.92,15
-1.26,1.59,15
1.67,-1.04,15
2.11,-0.58,15
-1.03,-0.37,5
1.91,-0.82,15
1.73,1.74,10
-1.61,1.27,5
-1.34,2.12,15
-2.4,1.0,15
-2.22,1.06,15
-2.04,0.97,5
-0.14,-1.65,5
-1.48,2.02,15
-2.11,1.32,15
-1.31,0.05,15
-1.23,2.13,15
0.13,-2.03,10
-1.0,2.0,15
-0.4,-2.2,15
-1.06,2.11,15
-2.27,0.58,15
-0.98,0.06,15
-0.94,1.6,15
0.0,-2.31,15
-0.8,2.0,10
-1.46,0.11,15
-1.11,2.12,10
-2.32,0.76,15
-1.16,-0.05,15
-1.19,2.38,15
0.0,-2.33,15
-2.23,1.37,15
-2.02,1.02,15
-0.88,2.4,15
0.27,-2.37,15
-2.39,0.73,15
-1.82,1.27,15
-1.89,0.93,15
-2.19,1.15,15
0.09,-2.43,15
-1.33,2.03,15
-2.01,0.86,15
-0.19,-2.01,15
-1.21,2.34,15
-1.92,0.98,15
-0.73,2.33,15
